,name,is_winner,pct_pts_key,pct_pts_fcd_rally,pct_pts_ufcd_rally,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_pts_won_in_match,pct_win_long_rallies_initiated_by_opponent,pct_rally_pts_won,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
218,Roger_Federer,1,0.481481481481481,0.46913580246913505,0.7654320987654321,0.75,0.25,0.642857142857142,0.28571428571428503,0.42857142857142805,0.28571428571428503,0.389830508474576,0.695121951219512,0.658536585365853,0.581560283687943,0.711538461538461,0.581560283687943,0.20567375886524802,0.163120567375886,0.481481481481481,0.8148148148148141,0.7654320987654321,0.46341463414634104,0.527777777777777,0.116666666666666,0.0,0.266666666666666,0.48333333333333306,0.44692737430167506,0.363128491620111,0.044692737430167,0.11731843575418902,0.027932960893854,0.059746557135743006,0.092229394725568
219,Novak_Djokovic,1,0.446428571428571,0.392857142857142,0.803571428571428,1.0,0.0,0.818181818181818,0.36363636363636304,0.875,0.125,0.5416666666666661,0.682539682539682,0.5,0.5675675675675671,0.7142857142857141,0.5675675675675671,0.189189189189189,0.234234234234234,0.446428571428571,0.8392857142857141,0.803571428571428,0.4,0.45454545454545403,0.09090909090909001,0.0,0.18181818181818102,0.41818181818181804,0.435406698564593,0.215311004784689,0.153110047846889,0.19138755980861202,0.004784688995215,0.022371858277175003,0.06806565269799701
220,Novak_Djokovic,0,0.293577981651376,0.26605504587155904,0.642201834862385,0.7000000000000001,0.2,0.6818181818181811,0.18181818181818102,0.6666666666666661,0.16666666666666602,0.26890756302521,0.7333333333333331,0.416666666666666,0.46875000000000006,0.746666666666666,0.46875000000000006,0.20535714285714202,0.14285714285714202,0.293577981651376,0.7155963302752291,0.642201834862385,0.26190476190476103,0.34615384615384603,0.052173913043478,0.008695652173913,0.15652173913043402,0.38260869565217304,0.45454545454545403,0.288537549407114,0.079051383399209,0.162055335968379,0.015810276679841,0.034235248459708004,0.013685484769563001
221,Roger_Federer,0,0.34375000000000006,0.27083333333333304,0.6875,0.5,0.25,0.5882352941176471,0.17647058823529402,0.42857142857142805,0.0,0.391752577319587,0.689655172413793,0.390625,0.47282608695652106,0.8235294117647051,0.46590909090909005,0.16477272727272702,0.21590909090909002,0.34375000000000006,0.7291666666666661,0.6875,0.21951219512195103,0.39534883720930203,0.08750000000000001,0.0,0.2,0.36250000000000004,0.46212121212121204,0.287878787878787,0.056818181818181004,0.162878787878787,0.030303030303030002,0.067198577601822,0.05867008948372
222,Novak_Djokovic,1,0.47368421052631504,0.421052631578947,0.684210526315789,0.477157360406091,0.477157360406091,0.75,0.08333333333333301,1.0,0.25,0.30303030303030304,0.8909090909090901,0.6666666666666661,0.625,0.642857142857142,0.625,0.204545454545454,0.11363636363636301,0.47368421052631504,0.710526315789473,0.684210526315789,0.7142857142857141,0.44,0.08,0.0,0.16,0.36,0.378571428571428,0.2,0.2,0.20714285714285702,0.014285714285714,0.05940609332025001,0.022563862137725002
223,Novak_Djokovic,1,0.40566037735849003,0.339622641509433,0.5943396226415091,0.42857142857142805,0.0,0.6666666666666661,0.16666666666666602,0.30000000000000004,0.1,0.389473684210526,0.7522935779816511,0.617647058823529,0.5343137254901961,0.82258064516129,0.5343137254901961,0.23039215686274503,0.181372549019607,0.40566037735849003,0.669811320754716,0.5943396226415091,0.375,0.446808510638297,0.020408163265306003,0.0,0.10204081632653,0.23469387755102003,0.41009463722397405,0.302839116719242,0.091482649842271,0.176656151419558,0.018927444794952,0.043190143285552006,0.013356777344393
224,Rafael_Nadal,0,0.342465753424657,0.301369863013698,0.7945205479452051,0.4,0.0,0.583333333333333,0.25,0.8,0.4,0.423076923076923,0.5,0.31481481481481405,0.45833333333333304,0.8297872340425531,0.45833333333333304,0.138888888888888,0.22916666666666602,0.342465753424657,0.876712328767123,0.7945205479452051,0.30769230769230704,0.34146341463414603,0.056338028169014,0.0,0.14084507042253502,0.239436619718309,0.42063492063492003,0.277777777777777,0.12301587301587301,0.146825396825396,0.031746031746031,0.024147494559876,0.015947158827303
225,Roger_Federer,1,0.457627118644067,0.43220338983050804,0.7627118644067791,0.6666666666666661,0.22222222222222202,0.5789473684210521,0.421052631578947,0.6153846153846151,0.15384615384615302,0.30392156862745,0.6306306306306301,0.457627118644067,0.52112676056338,0.753424657534246,0.52112676056338,0.18779342723004602,0.14553990610328602,0.457627118644067,0.771186440677966,0.7627118644067791,0.6046511627906971,0.35714285714285704,0.11578947368421001,0.0,0.24210526315789402,0.4,0.46186440677966106,0.266949152542372,0.12711864406779602,0.11864406779661,0.025423728813559,0.021830106308938002,0.031404370589339
226,Novak_Djokovic,1,0.39375000000000004,0.36250000000000004,0.675,0.5714285714285711,0.0,0.766666666666666,0.133333333333333,0.8125,0.125,0.256756756756756,0.6073619631901841,0.527272727272727,0.5241157556270091,0.8160000000000001,0.5241157556270091,0.202572347266881,0.12218649517684801,0.39375000000000004,0.7125,0.675,0.38805970149253705,0.41558441558441506,0.026490066225165,0.0,0.14569536423841,0.26490066225165504,0.416666666666666,0.286036036036036,0.11486486486486401,0.15990990990990903,0.022522522522522,0.048398152563925004,0.006401313822550001
227,Novak_Djokovic,0,0.321428571428571,0.30357142857142805,0.6964285714285711,0.769230769230769,0.038461538461538006,0.6666666666666661,0.14285714285714202,0.521739130434782,0.130434782608695,0.36029411764705804,0.73109243697479,0.47272727272727205,0.46666666666666606,0.782051282051282,0.46666666666666606,0.17647058823529402,0.19215686274509802,0.321428571428571,0.6964285714285711,0.6964285714285711,0.339285714285714,0.326086956521739,0.034965034965034,0.0,0.09090909090909001,0.22377622377622303,0.42505133470225803,0.180698151950718,0.18685831622176502,0.18480492813141602,0.022587268993839,0.04575961669699,0.036102671863134005
